"","bullet1","bullet2","cmps.max","cmps.maxbar","cmps.max.m","cmps.maxbar.m","type","type_truth"
"1","Br1 1","Br1 2",22,16.6666666666667,22,16.6666666666667,"KM","KM"
"2","Br1 1","Br10 1",5,4.16666666666667,5,4.16666666666667,"KNM","KNM"
"3","Br1 1","Br10 2",7,4.83333333333333,7,4.83333333333333,"KNM","KNM"
"4","Br1 1","Br2 1",8,4.5,8,4.5,"KNM","KNM"
"5","Br1 1","Br2 2",8,5,8,5,"KNM","KNM"
"6","Br1 1","Br3 1",8,4.16666666666667,8,4,"KNM","KNM"
"7","Br1 1","Br3 2",7,4.33333333333333,7,4.33333333333333,"KNM","KNM"
"8","Br1 1","Br4 1",7,4.66666666666667,7,4.66666666666667,"KNM","KNM"
"9","Br1 1","Br4 2",6,4.33333333333333,6,4.33333333333333,"KNM","KNM"
"10","Br1 1","Br5 1",8,5.16666666666667,8,5.16666666666667,"KNM","KNM"
"11","Br1 1","Br5 2",8,5.16666666666667,8,5.16666666666667,"KNM","KNM"
"12","Br1 1","Br6 1",8,4.83333333333333,8,4.83333333333333,"KNM","KNM"
"13","Br1 1","Br6 2",10,4.83333333333333,10,4.8,"KNM","KNM"
"14","Br1 1","Br7 1",7,4.83333333333333,7,4.83333333333333,"KNM","KNM"
"15","Br1 1","Br7 2",6,4.33333333333333,6,4.33333333333333,"KNM","KNM"
"16","Br1 1","Br8 1",7,4.83333333333333,7,4.83333333333333,"KNM","KNM"
"17","Br1 1","Br8 2",8,4.66666666666667,8,4.66666666666667,"KNM","KNM"
"18","Br1 1","Br9 1",7,4.16666666666667,7,4.16666666666667,"KNM","KNM"
"19","Br1 1","Br9 2",7,4.33333333333333,7,4.4,"KNM","KNM"
"20","Br1 1","Ukn B",8,4.5,8,4.6,"Ukn","KNM"
"21","Br1 1","Ukn C",24,18.1666666666667,24,18.1666666666667,"Ukn","KM"
"22","Br1 1","Ukn D",7,4.33333333333333,7,4.33333333333333,"Ukn","KNM"
"23","Br1 1","Ukn E",8,4.83333333333333,8,4.83333333333333,"Ukn","KNM"
"24","Br1 1","Ukn F",23,17.5,23,17.5,"Ukn","KM"
"25","Br1 1","Ukn H",7,4.66666666666667,7,4.66666666666667,"Ukn","KNM"
"26","Br1 1","Ukn J",7,4.16666666666667,7,4.16666666666667,"Ukn","KNM"
"27","Br1 1","Ukn L",6,4.83333333333333,6,4.83333333333333,"Ukn","KNM"
"28","Br1 1","Ukn M",6,4.16666666666667,6,4.16666666666667,"Ukn","KNM"
"29","Br1 1","Ukn Q",8,4.5,6,4.6,"Ukn","KNM"
"30","Br1 1","Ukn S",7,4.66666666666667,7,4.66666666666667,"Ukn","KNM"
"31","Br1 1","Ukn U",7,4.66666666666667,7,4.66666666666667,"Ukn","KNM"
"32","Br1 1","Ukn X",7,4.33333333333333,7,4.33333333333333,"Ukn","KNM"
"33","Br1 1","Ukn Y",7,4.5,7,4.5,"Ukn","KNM"
"34","Br1 1","Ukn Z",6,4.33333333333333,6,4.33333333333333,"Ukn","KNM"
"35","Br1 2","Br10 1",8,4.83333333333333,8,4.83333333333333,"KNM","KNM"
"36","Br1 2","Br10 2",7,4.33333333333333,7,4.33333333333333,"KNM","KNM"
"37","Br1 2","Br2 1",7,4.5,7,4.5,"KNM","KNM"
"38","Br1 2","Br2 2",7,4.66666666666667,7,4.66666666666667,"KNM","KNM"
"39","Br1 2","Br3 1",10,5.33333333333333,10,5.6,"KNM","KNM"
"40","Br1 2","Br3 2",8,5.33333333333333,8,5.33333333333333,"KNM","KNM"
"41","Br1 2","Br4 1",7,4.66666666666667,7,4.66666666666667,"KNM","KNM"
"42","Br1 2","Br4 2",7,4.5,7,4.5,"KNM","KNM"
"43","Br1 2","Br5 1",8,4.83333333333333,8,4.83333333333333,"KNM","KNM"
"44","Br1 2","Br5 2",7,5,7,5,"KNM","KNM"
"45","Br1 2","Br6 1",7,4,7,4,"KNM","KNM"
"46","Br1 2","Br6 2",7,4.66666666666667,6,4.4,"KNM","KNM"
"47","Br1 2","Br7 1",8,4.83333333333333,8,4.83333333333333,"KNM","KNM"
"48","Br1 2","Br7 2",6,4.33333333333333,6,4.33333333333333,"KNM","KNM"
"49","Br1 2","Br8 1",7,5.16666666666667,7,5.16666666666667,"KNM","KNM"
"50","Br1 2","Br8 2",7,4.83333333333333,7,4.83333333333333,"KNM","KNM"
"51","Br1 2","Br9 1",7,4.16666666666667,7,4.16666666666667,"KNM","KNM"
"52","Br1 2","Br9 2",7,4.66666666666667,7,4.6,"KNM","KNM"
"53","Br1 2","Ukn B",6,4.66666666666667,6,4.6,"Ukn","KNM"
"54","Br1 2","Ukn C",21,16,21,16,"Ukn","KM"
"55","Br1 2","Ukn D",9,4.66666666666667,9,4.66666666666667,"Ukn","KNM"
"56","Br1 2","Ukn E",8,4.16666666666667,8,4.16666666666667,"Ukn","KNM"
"57","Br1 2","Ukn F",23,14.8333333333333,23,14.8333333333333,"Ukn","KM"
"58","Br1 2","Ukn H",6,4.33333333333333,6,4.33333333333333,"Ukn","KNM"
"59","Br1 2","Ukn J",8,5,8,5,"Ukn","KNM"
"60","Br1 2","Ukn L",8,4.83333333333333,8,4.83333333333333,"Ukn","KNM"
"61","Br1 2","Ukn M",9,5,9,5,"Ukn","KNM"
"62","Br1 2","Ukn Q",7,4.66666666666667,6,4.8,"Ukn","KNM"
"63","Br1 2","Ukn S",9,4.66666666666667,9,4.66666666666667,"Ukn","KNM"
"64","Br1 2","Ukn U",7,4.83333333333333,7,4.83333333333333,"Ukn","KNM"
